month,revenue_eur,transactions,mrr_eur,active_subscriptions_eom,active_trials_eom,new_customers,active_customers,churned_actives,churn_rate_pct,paying_customers_7d,conversion_rate_7d_pct,refunded_transactions,refund_rate_pct,incomplete_month
2025-07,95.68,25,11.82,54,10,2319,1706,0,0.00,26,1.12,0,0.00,false
2025-08,119.18,25,14.94,69,11,2517,2877,0,0.00,24,0.95,2,8.00,false
2025-09,155.37,32,19.09,89,19,2556,3173,0,0.00,33,1.29,0,0.00,false
2025-10,164.77,40,25.48,117,15,2874,3603,1,1.12,30,1.04,1,2.50,false
2025-11,187.14,53,35.77,163,18,3171,3948,0,0.00,49,1.55,0,0.00,false
2025-12,163.80,45,43.17,197,7,2755,3647,1,0.61,28,1.02,2,4.44,false
2026-01,69.69,11,47.69,207,6,2272,3074,0,0.00,12,0.53,2,18.18,false
2026-02,129.15,19,53.51,219,3,1982,2784,1,0.48,10,0.50,0,0.00,false
2026-03,212.45,29,73.76,234,10,2075,2888,3,1.37,24,1.16,0,0.00,false
2026-04,217.72,46,72.80,246,6,2291,3155,9,3.85,27,1.18,2,4.35,false
2026-05,221.29,45,87.83,255,9,2648,3573,10,4.07,26,0.98,0,0.00,false
2026-06,254.88,64,111.49,264,8,2771,3715,16,6.27,27,0.97,0,0.00,false
2026-07,288.49,58,111.64,261,8,2086,3012,20,7.58,13,0.62,1,1.72,true
